month,01_Adoption_Programs,01_Wallet_Incentive_Pool,02_Long-Term_Reserve,03_Foundation_Treasury,04_Builder_&_Partner_Grants,05_Personnel,06_Early_Backers_Escrow,07_Founders_Escrow,09_Contingency_Reserve,10_Public_Sector_Programs,12_Node_Operations,unlocked_total_qdn,circulating_qdn,minted_supply_qdn,circulating_bps_of_supply
43,999000000,1000000,215000000,357000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3412000000,56110100,4145870473,135
44,999000000,1000000,220000000,364000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3424000000,56110100,4149325365,135
45,999000000,1000000,225000000,371000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3436000000,56110100,4152783136,135
46,999000000,1000000,230000000,378000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3448000000,56110100,4156243789,135
47,999000000,1000000,235000000,385000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3460000000,56110100,4159707325,134
48,999000000,1000000,240000000,392000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3472000000,56110100,4163173748,134
49,999000000,1000000,245000000,399000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3484000000,56110100,4166643059,134
50,999000000,1000000,250000000,406000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3496000000,56110100,4170115262,134
51,999000000,1000000,255000000,413000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3508000000,56110100,4173590358,134
52,999000000,1000000,260000000,420000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3520000000,56110100,4177068350,134
53,999000000,1000000,265000000,427000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3532000000,56110100,4180549240,134
54,999000000,1000000,270000000,434000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3544000000,56110100,4184033031,134
55,999000000,1000000,275000000,441000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3556000000,56110100,4187519726,133
56,999000000,1000000,280000000,448000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3568000000,56110100,4191009325,133
57,999000000,1000000,285000000,455000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3580000000,56110100,4194501833,133
58,999000000,1000000,290000000,462000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3592000000,56110100,4197997251,133
59,999000000,1000000,295000000,469000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3604000000,56110100,4201495582,133
60,999000000,1000000,300000000,476000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3616000000,56110100,4204996829,133
61,999000000,1000000,305000000,483000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3628000000,56110100,4208500993,133
62,999000000,1000000,310000000,490000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3640000000,56110100,4212008077,133
63,999000000,1000000,315000000,497000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3652000000,56110100,4215518084,133
64,999000000,1000000,320000000,504000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3664000000,56110100,4219031015,132
65,999000000,1000000,325000000,511000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3676000000,56110100,4222546874,132
66,999000000,1000000,330000000,518000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3688000000,56110100,4226065664,132
67,999000000,1000000,335000000,525000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3700000000,56110100,4229587385,132
68,999000000,1000000,340000000,532000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3712000000,56110100,4233112041,132
69,999000000,1000000,345000000,539000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3724000000,56110100,4236639634,132
70,999000000,1000000,350000000,546000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3736000000,56110100,4240170167,132
71,999000000,1000000,355000000,553000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3748000000,56110100,4243703643,132
72,999000000,1000000,360000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3760000000,56110100,4247240062,132
73,999000000,1000000,365000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3765000000,56110100,4250779429,131
74,999000000,1000000,370000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3770000000,56110100,4254321745,131
75,999000000,1000000,375000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3775000000,56110100,4257867013,131
76,999000000,1000000,380000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3780000000,56110100,4261415236,131
77,999000000,1000000,385000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3785000000,56110100,4264966415,131
78,999000000,1000000,390000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3790000000,56110100,4268520554,131
79,999000000,1000000,395000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3795000000,56110100,4272077654,131
80,999000000,1000000,400000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3800000000,56110100,4275637719,131
81,999000000,1000000,405000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3805000000,56110100,4279200751,131
82,999000000,1000000,410000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3810000000,56110100,4282766751,131
83,999000000,1000000,415000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3815000000,56110100,4286335723,130
84,999000000,1000000,420000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3820000000,56110100,4289907670,130
85,999000000,1000000,425000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3825000000,56110100,4293482593,130
86,999000000,1000000,430000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3830000000,56110100,4297060495,130
87,999000000,1000000,435000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3835000000,56110100,4300641379,130
88,999000000,1000000,440000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,110100,3840000000,56110100,4304225247,130
